workload,policy,batch_size,mean_accepted_length,net_speedup,wasted_tokens_per_accepted
spec_bench,fixed_3,8,1.979,1.862,0.599
spec_bench,fixed_3,32,1.98,1.862,0.533
spec_bench,fixed_3,64,1.971,1.857,0.53
spec_bench,fixed_4,1,2.322,1.846,1.363
spec_bench,fixed_4,8,2.266,1.814,0.89
spec_bench,fixed_4,32,2.27,1.817,0.788
spec_bench,fixed_4,64,2.261,1.812,0.779
spec_bench,fixed_6,1,2.584,1.629,2.408
spec_bench,fixed_6,8,2.504,1.593,1.611
spec_bench,fixed_6,32,2.503,1.592,1.44
spec_bench,fixed_6,64,2.492,1.587,1.426
spec_bench,fixed_8,1,2.62,1.392,3.493
spec_bench,fixed_8,8,2.54,1.361,2.45
spec_bench,fixed_8,32,2.536,1.36,2.214
spec_bench,fixed_8,64,2.528,1.357,2.19
spec_bench,entropy_threshold,1,2.49,1.777,1.666
spec_bench,entropy_threshold,8,2.406,1.55,1.698
spec_bench,entropy_threshold,32,2.413,1.471,1.786
spec_bench,entropy_threshold,64,2.401,1.436,1.878
spec_bench,epsilon_greedy,1,2.122,1.818,1.166
spec_bench,epsilon_greedy,8,1.89,1.59,1.323
spec_bench,epsilon_greedy,32,1.905,1.574,1.282
spec_bench,epsilon_greedy,64,1.881,1.476,1.624
spec_bench,ucb,1,2.14,1.836,1.158
spec_bench,ucb,8,1.916,1.591,1.382
spec_bench,ucb,32,1.876,1.366,2.081
spec_bench,ucb,64,1.916,1.294,2.412
spec_bench,history,1,1.876,1.757,1.033
spec_bench,history,8,1.789,1.359,2.282
spec_bench,history,32,1.793,1.172,2.999
spec_bench,history,64,1.784,1.11,3.304
spec_bench,oracle,1,2.514,2.169,0.134
spec_bench,oracle,8,2.435,1.73,1.097
spec_bench,oracle,32,2.431,1.533,1.6
spec_bench,oracle,64,2.424,1.455,1.832
spec_bench,ucb_coarse,1,2.024,1.732,1.336
spec_bench,ucb_coarse,8,2.033,1.386,2.331
spec_bench,ucb_coarse,32,2.031,1.186,2.936
spec_bench,ucb_coarse,64,2.037,1.179,2.917
spec_bench,linucb,1,2.034,1.77,1.181
spec_bench,linucb,8,2.094,1.615,1.574
spec_bench,linucb,32,1.97,1.388,2.219
spec_bench,linucb,64,2.01,1.348,2.312
spec_bench,linucb_explore,1,2.088,1.777,1.265
spec_bench,linucb_explore,8,2.038,1.509,1.977
spec_bench,linucb_explore,32,2.058,1.332,2.434
spec_bench,linucb_explore,64,2.051,1.239,2.708
spec_bench,linucb_fine,1,1.72,1.825,0.672
spec_bench,linucb_fine,8,1.576,1.558,1.281
spec_bench,linucb_fine,32,1.763,1.36,2.151
spec_bench,linucb_fine,64,1.811,1.338,2.282
mixed,fixed_1,1,0.828,1.524,0.172
mixed,fixed_1,8,0.861,1.551,0.187
mixed,fixed_1,32,0.854,1.545,0.178
mixed,fixed_1,64,0.86,1.55,0.166
mixed,fixed_2,1,1.488,1.777,0.512
mixed,fixed_2,8,1.538,1.813,0.339
mixed,fixed_2,32,1.53,1.807,0.319
mixed,fixed_2,64,1.539,1.814,0.304
mixed,fixed_3,1,1.952,1.845,0.95
mixed,fixed_3,8,2.021,1.888,0.546
mixed,fixed_3,32,2.016,1.885,0.506
mixed,fixed_3,64,2.029,1.893,0.485
mixed,fixed_4,1,2.288,1.827,1.431
mixed,fixed_4,8,2.348,1.86,0.797
mixed,fixed_4,32,2.343,1.857,0.732
mixed,fixed_4,64,2.359,1.866,0.704
mixed,fixed_6,1,2.634,1.652,2.469
mixed,fixed_6,8,2.687,1.676,1.401
mixed,fixed_6,32,2.678,1.672,1.283
mixed,fixed_6,64,2.702,1.683,1.236
mixed,fixed_8,1,2.736,1.437,3.551
mixed,fixed_8,8,2.821,1.47,2.084
mixed,fixed_8,32,2.805,1.463,1.913
mixed,fixed_8,64,2.828,1.472,1.852
mixed,entropy_threshold,1,2.604,1.78,1.618
mixed,entropy_threshold,8,2.699,1.457,2.056
mixed,entropy_threshold,32,2.683,1.416,2.047
mixed,entropy_threshold,64,2.702,1.424,1.986
mixed,epsilon_greedy,1,1.93,1.806,1.043
mixed,epsilon_greedy,8,2.047,1.688,1.057
mixed,epsilon_greedy,32,2.03,1.54,1.462
mixed,epsilon_greedy,64,1.991,1.501,1.603
mixed,ucb,1,1.758,1.78,0.9
mixed,ucb,8,1.965,1.585,1.395
mixed,ucb,32,1.916,1.345,2.174
mixed,ucb,64,2.027,1.3,2.385
mixed,history,1,1.844,1.742,1.089
mixed,history,8,1.917,1.333,2.41
mixed,history,32,1.878,1.153,3.099
mixed,history,64,1.919,1.149,3.081
mixed,oracle,1,2.624,2.16,0.172
mixed,oracle,8,2.717,1.688,1.273
mixed,oracle,32,2.693,1.471,1.852
mixed,oracle,64,2.715,1.437,1.942
mixed,ucb_coarse,1,2.098,1.733,1.507
mixed,ucb_coarse,8,2.174,1.431,2.184
mixed,ucb_coarse,32,2.175,1.242,2.678
mixed,ucb_coarse,64,2.184,1.231,2.667
mixed,linucb,1,2.134,1.792,1.303
mixed,linucb,8,2.06,1.497,1.783
mixed,linucb,32,2.125,1.251,2.645
mixed,linucb,64,2.143,1.217,2.744
mixed,linucb_explore,1,2.06,1.732,1.425
mixed,linucb_explore,8,2.192,1.601,1.548
mixed,linucb_explore,32,2.167,1.337,2.369
mixed,linucb_explore,64,2.197,1.273,2.543
mixed,linucb_fine,1,2.134,1.81,1.259
mixed,linucb_fine,8,1.822,1.554,1.372
mixed,linucb_fine,32,1.88,1.397,2.072
mixed,linucb_fine,64,1.93,1.35,2.306
