workload,prompt_idx,policy,avg_latency,net_speedup,wasted_tokens_per_accepted
humaneval,147,baseline,1.6003761291503906,1.0,0.0
humaneval,148,baseline,1.5978076457977295,1.0,0.0
humaneval,149,baseline,1.7340528964996338,1.0,0.0
humaneval,150,baseline,1.7953286170959473,1.0,0.0
humaneval,151,baseline,1.6790108680725098,1.0,0.0
humaneval,152,baseline,0.6384260654449463,1.0,0.0
humaneval,153,baseline,1.6659228801727295,1.0,0.0
humaneval,154,baseline,1.676893949508667,1.0,0.0
humaneval,155,baseline,1.7620489597320557,1.0,0.0
humaneval,156,baseline,1.7721951007843018,1.0,0.0
humaneval,157,baseline,1.664778470993042,1.0,0.0
humaneval,158,baseline,1.6046020984649658,1.0,0.0
humaneval,159,baseline,1.8393352031707764,1.0,0.0
humaneval,160,baseline,1.729346513748169,1.0,0.0
humaneval,161,baseline,1.6805915832519531,1.0,0.0
humaneval,162,baseline,1.6147966384887695,1.0,0.0
humaneval,163,baseline,1.6866846084594727,1.0,0.0
humaneval,0,fixed_1,1.2003140449523926,2.0429209996182327,0.0
humaneval,1,fixed_1,1.721158504486084,0.8963922182688,0.06451612903225806
humaneval,2,fixed_1,1.7337663173675537,0.9152518109671651,0.03125
humaneval,3,fixed_1,1.7317428588867188,0.842777460206271,0.0967741935483871
humaneval,4,fixed_1,1.6693663597106934,1.3249776129954598,0.13333333333333333
humaneval,5,fixed_1,1.6580305099487305,1.3125247689050374,0.0967741935483871
humaneval,6,fixed_1,1.736511468887329,0.9507930094184671,0.06451612903225806
humaneval,7,fixed_1,1.5862438678741455,0.9837217911590967,0.0
humaneval,8,fixed_1,1.3042688369750977,1.1521584864272005,0.0
humaneval,9,fixed_1,1.551231861114502,1.1436052046481446,0.0
humaneval,10,fixed_1,1.9240365028381348,0.9359057763859552,0.16666666666666666
humaneval,11,fixed_1,1.6801505088806152,0.9212356865882548,0.06451612903225806
humaneval,12,fixed_1,1.146672010421753,0.8034914713428094,0.09523809523809523
humaneval,13,fixed_1,1.517806053161621,1.0945890288306572,0.03125
humaneval,14,fixed_1,1.467921257019043,1.2699173026460684,0.0
humaneval,15,fixed_1,1.6593043804168701,1.0926982150049134,0.0967741935483871
humaneval,16,fixed_1,1.6464595794677734,1.183730750829164,0.03125
humaneval,17,fixed_1,1.7771034240722656,0.980421969617286,0.0
humaneval,18,fixed_1,1.5809998512268066,1.1744207755043812,0.06451612903225806
humaneval,19,fixed_1,1.6839897632598877,0.9655706754691417,0.2068965517241379
humaneval,20,fixed_1,1.864513874053955,0.8509821442500312,0.06451612903225806
humaneval,21,fixed_1,1.805145025253296,0.8515954997056658,0.03125
humaneval,22,fixed_1,1.690030813217163,0.9007339067219129,0.13333333333333333
humaneval,23,fixed_1,1.5832116603851318,0.9899636637220462,0.13333333333333333
humaneval,24,fixed_1,1.5391888618469238,1.0761643823733786,0.0967741935483871
humaneval,25,fixed_1,1.6742374897003174,0.9481293845386835,0.0
humaneval,26,fixed_1,1.694157361984253,0.8733284631409419,0.06451612903225806
humaneval,27,fixed_1,1.6845054626464844,0.9881879510760152,0.0967741935483871
humaneval,28,fixed_1,1.5456249713897705,1.2214764220699599,0.0
humaneval,29,fixed_1,1.4808714389801025,1.146033028911366,0.0
humaneval,30,fixed_1,1.74639892578125,0.9084516598661447,0.03125
humaneval,31,fixed_1,1.7898588180541992,0.8447333044544366,0.0967741935483871
humaneval,32,fixed_1,2.262464761734009,0.675970247005495,0.06451612903225806
humaneval,33,fixed_1,1.783562421798706,0.9873155328378518,0.0967741935483871
humaneval,34,fixed_1,1.5111017227172852,1.1885311185512195,0.0
humaneval,35,fixed_1,1.6657590866088867,0.9726670674281134,0.03125
humaneval,36,fixed_1,1.7206900119781494,0.9095395281510004,0.03125
humaneval,37,fixed_1,2.006395101547241,0.8279550981999615,0.16666666666666666
humaneval,38,fixed_1,1.7580487728118896,0.9929479964918995,0.0
humaneval,39,fixed_1,1.7886614799499512,0.9588158924260782,0.13333333333333333
humaneval,40,fixed_1,1.8742451667785645,0.9117660078914622,0.0967741935483871
humaneval,41,fixed_1,1.893312692642212,0.8845120133421834,0.2068965517241379
humaneval,42,fixed_1,1.701631784439087,0.984278762942296,0.0967741935483871
humaneval,43,fixed_1,1.7588236331939697,0.9692912103918089,0.03125
humaneval,44,fixed_1,1.7841479778289795,0.9682321566044955,0.2068965517241379
humaneval,45,fixed_1,1.6228866577148438,1.0121632818560045,0.06451612903225806
humaneval,46,fixed_1,1.7503743171691895,0.9503541597596818,0.0
humaneval,47,fixed_1,1.5763370990753174,1.1024224409174308,0.06451612903225806
humaneval,48,fixed_1,1.595999002456665,1.058373150704986,0.06451612903225806
humaneval,49,fixed_1,1.7746350765228271,0.9621879046812064,0.06451612903225806
humaneval,50,fixed_1,1.7437341213226318,0.9498781131597179,0.0967741935483871
humaneval,51,fixed_1,1.7383956909179688,0.9369804810076584,0.16666666666666666
humaneval,52,fixed_1,1.6651110649108887,1.0246910716551103,0.2857142857142857
humaneval,53,fixed_1,1.7065436840057373,1.0220656928708034,0.03125
humaneval,54,fixed_1,1.8286821842193604,0.9058517096826891,0.06451612903225806
humaneval,55,fixed_1,1.5586130619049072,1.0283227150303864,0.03125
