seed,workload,policy,mean_speedup,accepted_tokens_per_step,mean_K,n_steps
3,mt_bench,fixed_2,1.3687,2.3118,2.0,5000
3,mt_bench,fixed_4,1.2113,2.899,4.0,5000
3,mt_bench,fixed_8,0.8212,3.1876,8.0,5000
3,mt_bench,svip,1.1826,3.1418,4.522,5000
3,mt_bench,tapout,1.0594,3.005,5.386,5000
3,mt_bench,banditspec_ucb,1.3456,2.1334,1.679,5000
3,mt_bench,banditspec_exp3,1.1806,2.543,3.751,5000
3,mt_bench,eps_greedy,1.3492,2.3338,2.177,5000
3,mt_bench,linucb_content,1.3126,2.438,2.515,5000
3,mt_bench,nightjar,1.3606,2.3058,2.272,5000
3,mt_bench,oracle_load,1.4072,2.0624,1.529,5000
3,mt_bench,oracle_content,1.4019,2.4292,1.962,5000
3,mt_bench,oracle_loadcontent,1.4564,2.3326,1.923,5000
3,mt_bench,content_only,1.3496,2.4544,2.254,5000
3,mt_bench,load_only,1.3796,2.1906,1.893,5000
3,mt_bench,combined,1.4051,2.5036,2.474,5000
3,mt_bench,oracle,1.5661,2.5332,1.848,5000
3,spec_bench,fixed_1,1.2833,1.8062,1.0,5000
3,spec_bench,fixed_2,1.3543,2.4306,2.0,5000
3,spec_bench,fixed_4,1.2833,3.2724,4.0,5000
3,spec_bench,fixed_8,0.9429,3.8836,8.0,5000
3,spec_bench,svip,1.1301,3.8568,5.918,5000
3,spec_bench,tapout,1.089,3.5894,5.995,5000
3,spec_bench,banditspec_ucb,1.2768,1.8334,1.066,5000
3,spec_bench,banditspec_exp3,1.2126,2.836,3.752,5000
3,spec_bench,eps_greedy,1.3397,2.443,2.145,5000
3,spec_bench,linucb_content,1.2724,2.8024,3.32,5000
3,spec_bench,nightjar,1.395,2.547,2.456,5000
3,spec_bench,oracle_load,1.4487,2.6052,2.573,5000
3,spec_bench,oracle_content,1.4096,2.8976,2.54,5000
3,spec_bench,oracle_loadcontent,1.4848,2.521,2.091,5000
3,spec_bench,content_only,1.368,2.3814,1.865,5000
3,spec_bench,load_only,1.3925,2.3664,2.029,5000
3,spec_bench,combined,1.4216,2.8134,2.765,5000
3,spec_bench,oracle,1.5904,2.757,2.026,5000
4,humaneval,fixed_1,1.4159,1.9152,1.0,5000
4,humaneval,fixed_2,1.5957,2.7268,2.0,5000
4,humaneval,fixed_4,1.6276,4.0034,4.0,5000
4,humaneval,fixed_8,1.3455,5.406,8.0,5000
4,humaneval,svip,1.3996,5.3982,7.429,5000
4,humaneval,tapout,1.4116,4.8516,6.589,5000
4,humaneval,banditspec_ucb,1.5856,2.7964,2.146,5000
4,humaneval,banditspec_exp3,1.4901,3.4816,3.755,5000
4,humaneval,eps_greedy,1.5754,2.7784,2.177,5000
4,humaneval,linucb_content,1.5847,3.6194,3.595,5000
4,humaneval,nightjar,1.698,3.3114,3.038,5000
4,humaneval,oracle_load,1.7574,3.102,2.65,5000
4,humaneval,oracle_content,1.6693,3.7192,3.308,5000
4,humaneval,oracle_loadcontent,1.7666,3.403,3.181,5000
4,humaneval,content_only,1.6424,3.7604,3.52,5000
4,humaneval,load_only,1.6711,3.4976,3.264,5000
4,humaneval,combined,1.695,3.4676,3.16,5000
4,humaneval,oracle,1.8942,3.485,2.642,5000
4,gsm8k,fixed_1,1.3053,1.7806,1.0,5000
4,gsm8k,fixed_2,1.3778,2.347,2.0,5000
4,gsm8k,fixed_4,1.2697,3.0132,4.0,5000
4,gsm8k,fixed_8,0.8795,3.4152,8.0,5000
4,gsm8k,svip,1.1886,3.3766,4.994,5000
4,gsm8k,tapout,1.0924,3.1912,5.585,5000
4,gsm8k,banditspec_ucb,1.3615,2.2532,1.86,5000
4,gsm8k,banditspec_exp3,1.2039,2.6356,3.751,5000
4,gsm8k,eps_greedy,1.3404,2.2354,1.946,5000
4,gsm8k,linucb_content,1.258,2.692,3.521,5000
4,gsm8k,nightjar,1.3776,2.5056,2.64,5000
4,gsm8k,oracle_load,1.4063,2.5452,2.884,5000
4,gsm8k,oracle_content,1.4191,2.4954,1.986,5000
4,gsm8k,oracle_loadcontent,1.4784,2.434,2.079,5000
4,gsm8k,content_only,1.3809,2.8302,2.903,5000
4,gsm8k,load_only,1.3918,2.1858,1.793,5000
4,gsm8k,combined,1.4129,2.6606,2.755,5000
4,gsm8k,oracle,1.5923,2.6388,1.946,5000
4,mt_bench,fixed_1,1.2675,1.7366,1.0,5000
4,mt_bench,fixed_2,1.3109,2.2682,2.0,5000
4,mt_bench,fixed_4,1.1498,2.8544,4.0,5000
4,mt_bench,fixed_8,0.7694,3.1764,8.0,5000
4,mt_bench,svip,1.1225,3.1356,4.457,5000
4,mt_bench,tapout,1.0096,2.9924,5.32,5000
4,mt_bench,banditspec_ucb,1.254,1.8602,1.354,5000
4,mt_bench,banditspec_exp3,1.1235,2.5012,3.75,5000
4,mt_bench,eps_greedy,1.2916,2.2948,2.174,5000
4,mt_bench,linucb_content,1.2108,2.5918,3.243,5000
4,mt_bench,nightjar,1.3078,2.2666,2.301,5000
4,mt_bench,oracle_load,1.3511,1.9942,1.487,5000
4,mt_bench,oracle_content,1.3589,2.435,1.973,5000
4,mt_bench,oracle_loadcontent,1.4132,2.2748,1.834,5000
4,mt_bench,content_only,1.3034,2.5508,2.493,5000
4,mt_bench,load_only,1.3303,2.1326,1.795,5000
4,mt_bench,combined,1.3273,2.5642,2.673,5000
4,mt_bench,oracle,1.4996,2.423,1.751,5000
4,spec_bench,fixed_1,1.2813,1.7808,1.0,5000
4,spec_bench,fixed_2,1.3432,2.3658,2.0,5000
4,spec_bench,fixed_4,1.237,3.1054,4.0,5000
4,spec_bench,fixed_8,0.8789,3.6584,8.0,5000
4,spec_bench,svip,1.1201,3.629,5.44,5000
4,spec_bench,tapout,1.0608,3.384,5.77,5000
4,spec_bench,banditspec_ucb,1.3151,2.6032,2.719,5000
4,spec_bench,banditspec_exp3,1.1812,2.7278,3.752,5000
4,spec_bench,eps_greedy,1.3214,2.371,2.106,5000
4,spec_bench,linucb_content,1.2,2.842,3.934,5000
4,spec_bench,nightjar,1.3462,2.4336,2.501,5000
4,spec_bench,oracle_load,1.4041,2.5246,2.64,5000
4,spec_bench,oracle_content,1.3954,2.725,2.322,5000
4,spec_bench,oracle_loadcontent,1.4577,2.42,1.989,5000
4,spec_bench,content_only,1.357,2.308,1.833,5000
4,spec_bench,load_only,1.3322,2.6458,2.938,5000
4,spec_bench,combined,1.3891,2.7434,2.74,5000
4,spec_bench,oracle,1.5596,2.624,1.911,5000
5,humaneval,fixed_1,1.3558,1.912,1.0,5000
5,humaneval,fixed_2,1.5131,2.7216,2.0,5000
5,humaneval,fixed_4,1.5493,4.0096,4.0,5000
5,humaneval,fixed_8,1.2913,5.4426,8.0,5000
5,humaneval,svip,1.3409,5.4364,7.455,5000
5,humaneval,tapout,1.35,4.8758,6.595,5000
5,humaneval,banditspec_ucb,1.3508,1.9532,1.074,5000
5,humaneval,banditspec_exp3,1.4267,3.5156,3.757,5000
5,humaneval,eps_greedy,1.5363,3.9448,3.944,5000
5,humaneval,linucb_content,1.4906,3.2794,3.047,5000
5,humaneval,nightjar,1.6255,3.237,2.898,5000
5,humaneval,oracle_load,1.6761,3.0082,2.515,5000
5,humaneval,oracle_content,1.5814,3.741,3.342,5000
5,humaneval,oracle_loadcontent,1.6832,3.324,3.077,5000
5,humaneval,content_only,1.5711,3.912,3.735,5000
5,humaneval,load_only,1.6184,3.314,2.973,5000
5,humaneval,combined,1.6197,3.3868,3.053,5000
5,humaneval,oracle,1.8054,3.3952,2.553,5000
5,gsm8k,fixed_1,1.3251,1.7956,1.0,5000
5,gsm8k,fixed_2,1.408,2.389,2.0,5000
5,gsm8k,fixed_4,1.2909,3.103,4.0,5000
5,gsm8k,fixed_8,0.8883,3.551,8.0,5000
5,gsm8k,svip,1.1642,3.516,5.254,5000
5,gsm8k,tapout,1.0922,3.3102,5.689,5000
5,gsm8k,banditspec_ucb,1.3917,2.4108,2.132,5000
5,gsm8k,banditspec_exp3,1.2317,2.7062,3.751,5000
5,gsm8k,eps_greedy,1.3712,2.4956,2.424,5000
5,gsm8k,linucb_content,1.3117,2.8636,3.393,5000
5,gsm8k,nightjar,1.3931,2.33,2.186,5000
5,gsm8k,oracle_load,1.4394,2.571,2.807,5000
5,gsm8k,oracle_content,1.4345,2.5776,2.074,5000
5,gsm8k,oracle_loadcontent,1.5013,2.4714,2.088,5000
5,gsm8k,content_only,1.3923,2.395,2.071,5000
5,gsm8k,load_only,1.4108,2.3714,2.153,5000
5,gsm8k,combined,1.4283,2.7338,2.817,5000
5,gsm8k,oracle,1.609,2.652,1.942,5000
5,mt_bench,fixed_1,1.2585,1.7202,1.0,5000
5,mt_bench,fixed_2,1.2827,2.2128,2.0,5000
5,mt_bench,fixed_4,1.1142,2.714,4.0,5000
5,mt_bench,fixed_8,0.7513,2.9788,8.0,5000
