workload,prompt_idx,policy,error_type,K,accepted_or_entropy
humaneval,11,fixed_1,Under-Drafting,1,0.1741739958524704
humaneval,11,fixed_1,Under-Drafting,1,0.04529168829321861
humaneval,11,fixed_1,Under-Drafting,1,0.02652117609977722
humaneval,11,fixed_1,Under-Drafting,1,0.1824062317609787
humaneval,11,fixed_1,Under-Drafting,1,0.11573798209428787
humaneval,11,fixed_1,Under-Drafting,1,0.011203724890947342
humaneval,11,fixed_1,Under-Drafting,1,0.0895291268825531
humaneval,11,fixed_1,Under-Drafting,1,0.05805965140461922
humaneval,11,fixed_1,Under-Drafting,1,0.12201236188411713
humaneval,11,fixed_1,Under-Drafting,1,0.023173410445451736
humaneval,11,fixed_1,Under-Drafting,1,0.02178659290075302
humaneval,11,fixed_1,Under-Drafting,1,0.007073416840285063
humaneval,11,fixed_1,Under-Drafting,1,0.12463584542274475
humaneval,11,fixed_1,Under-Drafting,1,0.00745325768366456
humaneval,11,fixed_1,Under-Drafting,1,0.018250398337841034
humaneval,11,fixed_1,Under-Drafting,1,0.11133944243192673
humaneval,11,fixed_1,Under-Drafting,1,0.08476220816373825
humaneval,11,fixed_1,Under-Drafting,1,0.05435822159051895
humaneval,12,fixed_1,Under-Drafting,1,0.06644599139690399
humaneval,12,fixed_1,Under-Drafting,1,0.15157419443130493
humaneval,12,fixed_1,Under-Drafting,1,0.19344687461853027
humaneval,12,fixed_1,Under-Drafting,1,0.028852706775069237
humaneval,12,fixed_1,Under-Drafting,1,0.019656090065836906
humaneval,12,fixed_1,Under-Drafting,1,0.0006785549921914935
humaneval,12,fixed_1,Under-Drafting,1,0.04967346042394638
humaneval,12,fixed_1,Under-Drafting,1,0.004265198949724436
humaneval,12,fixed_1,Under-Drafting,1,0.0012205231469124556
humaneval,12,fixed_1,Under-Drafting,1,0.0050497897900640965
humaneval,12,fixed_1,Under-Drafting,1,0.020860319957137108
humaneval,12,fixed_1,Under-Drafting,1,0.06554090231657028
humaneval,13,fixed_1,Under-Drafting,1,0.01665160246193409
humaneval,13,fixed_1,Under-Drafting,1,0.1118197962641716
humaneval,13,fixed_1,Under-Drafting,1,0.015028687193989754
humaneval,13,fixed_1,Under-Drafting,1,0.03936496376991272
humaneval,13,fixed_1,Under-Drafting,1,0.039895858615636826
humaneval,13,fixed_1,Under-Drafting,1,0.010964634828269482
humaneval,13,fixed_1,Under-Drafting,1,0.14001141488552094
